seed,scenario,level,method,rmse,delta_rmse,rmse_all,delta_rmse_all,mean_corrupt_weight,mean_corrupt_leverage_factor,irls_iterations,alpha,kappa_x,q_geometry,kappa_y,scale
1808,mixed_amplitude,50.0,huber,0.3098877883376699,0.0589983896579431,0.3098877883376699,0.0589983896579431,0.5392113405300297,,,,,,,
1808,mixed_amplitude,50.0,geometry,0.2736651773070884,0.0215153912926255,0.2736651773070884,0.0215153912926255,0.0052238057173277,,,,,,,
1808,mixed_amplitude,50.0,bgr,0.2511170673272368,0.0004402922615709,0.2511170673272368,0.0004402922615709,0.0004865036147466,,,,,,,
1808,gaussian_noise,0.4,ridge,0.268158734620688,0.0157715013136685,0.268158734620688,0.0157715013136685,1.0,,,,,,,
1808,gaussian_noise,0.4,huber,0.2707388572922087,0.0198494586124819,0.2707388572922087,0.0198494586124819,0.9434670040034644,,,,,,,
1808,gaussian_noise,0.4,geometry,0.2687441921988365,0.0165944061843736,0.2687441921988365,0.0165944061843736,0.9690551731656056,,,,,,,
1808,gaussian_noise,0.4,bgr,0.2712935558347533,0.0206167807690874,0.2712935558347533,0.0206167807690874,0.9133386193058322,,,,,,,
1909,nominal_raw,0.0,ridge,0.231302746598793,0.0,0.231302746598793,0.0,,,,,,,,
1909,nominal_raw,0.0,huber,0.2306123585858172,0.0,0.2306123585858172,0.0,,,,,,,,
1909,nominal_raw,0.0,geometry,0.2309478780600904,0.0,0.2309478780600904,0.0,,,,,,,,
1909,nominal_raw,0.0,bgr,0.2304163182455289,0.0,0.2304163182455289,0.0,,,,,,,,
1909,vertical_amplitude,4.0,ridge,0.2986804988896007,0.0673777522908076,0.2986804988896007,0.0673777522908076,1.0,,,,,,,
1909,vertical_amplitude,4.0,huber,0.2330250862551369,0.0024127276693196,0.2330250862551369,0.0024127276693196,0.0926098900995945,,,,,,,
1909,vertical_amplitude,4.0,geometry,0.2989638651681295,0.068015987108039,0.2989638651681295,0.068015987108039,0.9947326638556832,,,,,,,
1909,vertical_amplitude,4.0,bgr,0.2328531419098918,0.0024368236643629,0.2328531419098918,0.0024368236643629,0.0921452660437902,,,,,,,
1909,leverage_amplitude,50.0,ridge,0.3697763771412212,0.1384736305424281,0.3697763771412212,0.1384736305424281,1.0,,,,,,,
